"offense_category","offense_type","uncertainty_score","cost","description"
"driving under the influence of alcohol","dui offense",0.05,0.0005295,"DUI: Gen Imp (BAC .08 - .10) 3rd Off"
"liquor law violation","public order",0.3,0.000905,"Intoxi Pedest Causing Hazard"
"disorderly conduct offense","public order",0.05,0.000393,"Disorderly Conduct Engage in Fighting"
"child molestation","violent",0.15,0.0006435,"School - Intercourse/Sexual Contact with Student"
"contempt of court/violate court order","public order",0.15,0.00065825,"Unlawful Use of An Audio or Video Device in Court"
"forgery/fraud","property",0.05,0.0003915,"Fraud Obt Foodstamps/Assistance"
"forgery/fraud","property",0.1,0.00039125,"Buying/Exchanging Federal Food Stamps"
"criminal trespass","property",0.8,9e-04,"Impr Emergence Alley Driveway Or Bldg"
"weapons offense","violent",0.8,0.00064275,"Uses Incapacitation Device"
"traffic offense, minor","criminal traffic",0.05,0.00039,"Operating Without Lights"
"liquor law violation","public order",0.2,0.000907,"Permitting Violation - BAC .02 or Greater 2nd Offense"
"traffic offense, minor","criminal traffic",0.1,0.00051925,"Fail To Yield Right Of Way To Ped"
"drug paraphernalia","drug",0.05,0.0002615,"Personal Possession of Marijuana Paraphernalia"
"traffic offense, minor","criminal traffic",0.1,0.00039075,"Improper Entering To Intersection"
"traffic offense, minor","criminal traffic",0.35,0.000776,"Exceed 35 MPH In Urban Dist 34 MPH"
"weapons offense","public order",0.15,0.0006465,"Unlawful For Minor To Have Any Firearm W/O Parent"
"murder","violent",0,0.00025675,"Murder Of The First Degree"
"conspiracy to commit murder","violent",0,0.000391,"Conspiracy Murder Of The First Degree"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Improp Turn (Green Light)"
"simple assault, conspiracy","violent",0.05,0.00026125,"Criminal Conspiracy Engaging Simple Assault"
"traffic offense, minor","criminal traffic",0.9,0.0005185,"One-Way Roadways"
"not known/missing","not known/missing",0.95,0.00026725,"Investigation By Officer/Duty Of Operator"
"traffic offense, minor","criminal traffic",0.05,0.0005185,"Approach Intersection Improper"
"traffic offense, minor","criminal traffic",0.05,0.000262,"Improper Pass"
"hit and run driving, attempted","criminal traffic",0.66,0.001164,"Accidents/Reports - Duty To Stop And Provide Info"
"driving under the influence of drugs","dui offense",0.05,0.00040075,"DUI: Controlled Substance or Metabolite 3rd Offense"
"traffic offense, minor","criminal traffic",0.45,0.000774,"Required Financial Responsibility"
"public order offense, other, conspiracy","public order",0.4,0.001293,"Conspiracy Criminal Use Of Communication Facility"
"distribution other controlled substances","drug",0.15,0.0005175,"Knowing/In Mftr/Dist Of Design Drug"
"burglary, conspiracy","property",0.05,0.00039425,"Criminal Conspiracy Engaging Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"other court offense","public order",0.15,0.00051875,"Barratry-Vex W/Unjust Vexatious Suit"
"bribery/conflict of interest","public order",0.2,0.0005245,"Corrupt Organizations - Employee"
"violent offense other, conspiracy","violent",0.7,0.00065,"Consp To Vio 911b1, 911b2, 911b3"
"forgery/fraud, conspiracy","property",0.15,0.0009075,"Conspiracy Tamper With Public Record/Information"
"financial crimes conspiracy","property",0.2,0.00090025,"Conspiracy Deal In Proc Unl Act/Intent To Promote"
"financial crimes conspiracy","property",0.15,0.001028,"Conspiracy Knowledge That Property Is Proceeds of Illegal Act"
"forgery/fraud","property",0.35,0.00077475,"Pers Inc Tax Viol Fraud Doc"
"forgery/fraud, conspiracy","property",0.15,0.0005235,"Conspiracy Tamper With Public Record/information"
"financial crimes conspiracy","property",0.15,0.0009005,"Conspiracy Misapply Entrusted/Govt/Fin Inst Prop"
"forgery/fraud, conspiracy","property",0.2,0.00052325,"Conspiracy Pers Inc Tax Viol Fraud Doc"
"not known/missing","not known/missing",0,0.000395,"Notice Of Change Of Name Or Address"
"forgery/fraud","property",0.05,0.000391,"Fraudulent Traffic In Food Orders"
"forgery/fraud, conspiracy","property",0.15,0.00065125,"Conspiracy Fraudulent Traffic In Food Orders"
"distribution marijuana","drug",0.1,0.0003855,"Distribute Small Amt Marijuana/Not For Sale"
"sexual assault","violent",0.1,0.00038525,"Indecent Assault Person With Mental Disability"
"weapons offense","public order",0.05,0.00064425,"Carrying Loaded Weapon"
"vehicular manslaughter","violent",0.05,0.0002625,"Homicide By Vehicle"
"petty theft (=<$500)","property",0.15,0.0003945,"Retail Theft - Under ring"
"escape from custody, attempted","public order",0.05,0.00039225,"Criminal Attempt Escape"
"forgery/fraud","property",0.12,0.000392,"Access Device Used To Obt Or Att Obt Prop/Service"
"disorderly conduct offense","public order",0.05,0.00026525,"Disorderly Conduct - Unreasonable Noise"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 26 MPH"
"forgery/fraud","property",0.05,0.00051775,"Insurance Fraud"
"weapons offense","violent",0.8,0.000387,"Crime Committed W/Firearm"
"driving while intoxicated","dui offense",0.05,0.00052475,"DUI: Individual Under Alcohol and Drugs - 1st Offense"
"forgery/fraud","property",0.7,0.00077575,"Display Known Fict/Stolen/Issued For Insp"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 13 MPH"
"weapons offense","public order",0.15,0.00077275,"Possess Weapon On School Property"
"assault of an officer","violent",0.3,0.0006465,"Assault By Prisoner"
"aggravated assault, conspiracy","violent",0.05,0.00052475,"Criminal Conspiracy Aiding Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"public order offense, other","public order",0.8,0.00103325,"Criminal Solicitation Location Of Registration Permit"
"other property offense","property",0.2,0.000515,"Trademark Counterfeiting - Manufactures"
"traffic offense, minor","criminal traffic",0.05,0.000519,"Operate Head Lamps During Hours Of Darkness"
"not known/missing","not known/missing",0.95,0.00039525,"Subsequent Conviction General Offenses"
"obstruction/resisting, conspiracy","public order",0.05,0.00052375,"Conspiracy Obstruct Admin Law/Other Govt Func"
"arson","property",0.25,0.000512,"Dangerous Burning"
"traffic offense, minor","criminal traffic",0.05,0.0006495,"Duty of Driver in Emergency Response Areas - If Pass in Nonadjacent Lane is Impossible"
"hit and run driving with property damage","criminal traffic",0.7,0.00103725,"Fail Of Occ To Not Police Dept Acc"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Passing Where Prohibited"
"forgery/fraud","property",0.35,0.00064625,"Diversion Of Services"
"traffic offense, minor","criminal traffic",0.15,0.0005205,"Provide Cert Of Inspec W/O Valid Proof Of Insuranc"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"Operating without a License"
"not known/missing","not known/missing",0.85,0.0007795,"Engage In Unprofessional Conduct/Incompetancy"
"contempt of court/violate court order","public order",0.2,0.00065725,"Failing To Produce Business Records When Requested"
"not known/missing","not known/missing",0.9,0.000394,"Park Operating Policy"
"distribution, drug unspecified, conspiracy","drug",0.1,0.000652,"Criminal Conspiracy Aiding Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"rape, attempted","violent",0.6,0.00089925,"IDSI Threat Forcible Compulsion"
"kidnapping, conspiracy","violent",0.05,0.00026375,"Conspiracy Kidnap To Facilitate A Felony"
"public order offense, other","public order",0.8,0.00052025,"No Eye Protection Device"
"traffic offense, minor","criminal traffic",0.05,0.000264,"Exceed Max Speed Lim Estb By 50 MPH"
"burglary, attempted","property",0.1,0.0003935,"Criminal Attempt Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"fraudulent drug offense","drug",0.2,0.00077575,"Sell Noncont Subs - Similar To Cont Subst"
"possession/use of other controlled substance, attempted","drug",0.3,0.00091225,"Criminal Attempt Int Poss Contr Subst By Per Not Reg"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 15 MPH"
"theft, value unknown, conspiracy","property",0.1,0.000524,"Criminal Conspiracy Engaging Theft From A Motor Vehicle"
"kidnapping","violent",0.12,0.00051575,"False Imprisonment of Minor/Not Parent"
"violent offense, other","violent",0.1,0.00039,"Aggravated Cruelty to Animals - Torture"
"forgery/fraud","property",0.25,0.00064725,"Dec Bus Pract - Sale Less Than Quant"
"public order offense, other","public order",0.5,0.00052075,"Peddling And Soliciting"
"aggravated assault","violent",0.05,0.00039,"Agg. Assault - Use Tear or Noxious Gas"
"aggravated assault, attempted","violent",0.05,0.0003955,"Criminal Attempt Aggravated Assault - Attempts to cause or causes SBI to designated individuals"
"traffic offense, minor","criminal traffic",0.1,0.00039325,"Duty of Driver in Emergency Response Areas - Pass in Lane Not Adjacent to Area"
"child molestation","violent",0.05,0.00038825,"Incest of Minor - Complainant Under 13 Years"
"commercialized vice","public order",0.3,0.000646,"Prom Pros-Own House Of Prost/Or/Bus"
"commercialized vice","public order",0.12,0.000389,"Prom Pros-Encourage Prostitution"
"commercialized vice","public order",0.3,0.0006455,"Prom Pros-Transport Prost In Cmwlth"
"forgery/fraud","property",0.05,0.00052,"False Stmt to Induce Agreement for Home Improvement Services"
"traffic offense, minor","criminal traffic",0.05,0.00026225,"Driving In Right Lane"
"public order offense, other","public order",0.2,0.00052225,"Dispose Dom. Animal Carcass W/in 48 Hrs"
"other property offense","property",0.3,0.000771,"Neglect of Animals - Vet Care"
"weapons offense","public order",0.15,0.0009025,"Materially false written statement - purchase, delivery, transfer of firearm"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 35 MPH In Urban Dist By 25 MPH"
"theft, value unknown","property",0.12,0.00039175,"Retail Theft - Alter Label/Pricing Marking"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 30 MPH"
"forgery/fraud, conspiracy","property",0.05,0.00052375,"Conspiracy Forgery - Utters Forged Writing"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Pass Improp (Motorcycle)"
"traffic offense, minor","criminal traffic",0.2,0.00039025,"Operate Motorcycle Improp"
"weapons offense, conspiracy","not known/missing",0.3,0.00116625,"Conspiracy Penalties - Sales to Ineligible Transferee"
"weapons offense","public order",0.25,0.00128675,"Criminal Solicitation Penalties - Sales to Ineligible Transferee"
"child abuse","violent",0.35,0.00064225,"Endangers welfare of care-dependent person for whom he is responsible"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 19 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 11 MPH"
"obstruction/resisting","public order",0.05,0.00077625,"Hinder App/Prosec-Conceal/Destroy Evid"
"petty theft (=<$500), attempted","property",0.2,0.0003975,"Criminal Attempt Retail Theft-Take Mdse"
"theft, value unknown","property",0.2,0.00051925,"Retail Theft Destroy, Etc Inventory Control Tag"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Lighted Head Lamps Req. in Work Zones"
"forgery/fraud, attempted","property",0.05,0.00039575,"Criminal Attempt Forgery - Unauthorized Act In Writing"
"theft, value unknown, conspiracy","property",0.15,0.000523,"Conspiracy Retail Theft - Under ring"
"forgery/fraud","property",0.1,0.0003915,"Willfully Furnishes or Exhibits False Identification"
"forgery/fraud, conspiracy","property",0.25,0.000653,"Conspiracy Publ, Make, See, Etc Access Device Altered, Etc"
"unarmed robbery, conspiracy","violent",0.12,0.000776,"Conspiracy Robbery-Inflict Threat Imm Bod Inj"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 16 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 5 MPH"
"child molestation, conspiracy","violent",0.2,0.00077725,"Criminal Solicitation Indecent Assault Person Less than 13 Years of Age"
"burglary, attempted","property",0.05,0.00039275,"Criminal Attempt Burglary - Overnight Accommodations; Person Present"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 27 MPH"
"traffic offense, minor","criminal traffic",0.03,0.00039225,"Exceed 35 MPH In Urban Dist By 11 MPH"
"traffic offense, minor","criminal traffic",0.02,0.00026425,"Exceed 55 MPH In Other Loc By 22 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 58 MPH"
"child molestation","violent",0.15,0.00077175,"Contact/Comm.W/Minor-Sexual Offenses"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 19 MPH"
"child molestation, attempted","violent",0.05,0.00052075,"Criminal Attempt Invol. Deviate Sexual Intercourse W/Child"
"theft, value unknown","property",0.25,0.0003905,"Theft of Secondary Metal"
"forgery/fraud","property",0.15,0.00064875,"Criminal Attempt Access Device Issd to Another Who Did Not Auth Use"
"aggravated assault, attempted","violent",0.05,0.0002675,"Criminal Attempt Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 13 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 14 MPH"
"destruction of property","property",0.2,0.000389,"Institut'l Vand'ism Personal Prop"
"weapons offense","public order",0.7,0.000645,"Penalties - Sales of Firearms"
"possession/use, drug unspecified, attempted","drug",0.53,0.00078175,"Acq Or Obt Poss Of Contr Subs Misre"
"vehicular manslaughter","violent",0.05,0.0003915,"Homi By Veh While Dr Under The Infl"
"weapons offense, attempted","public order",0.25,0.00065,"Criminal Attempt Firearm Ownership - Duty Of Other Persons"
"rape","violent",0.05,0.000383,"Rape Unconscious Victim"
"traffic offense, minor","criminal traffic",0.1,0.00039125,"Use Wrong Lane-Left Turn Lane Design"
"commercialized vice, conspiracy","public order",0.4,0.00065025,"Conspiracy Prom Pros-Inmate In House Of Prost/Business"
"unarmed robbery, attempted","violent",0.25,0.00051925,"Criminal Attempt Robbery Of Motor Vehicle"
"criminal trespass","property",0.05,0.00038675,"Def Tres Posted on School Grounds"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 55 MPH In Other Loc By 45 MPH"
"extortion/threat","violent",0.15,0.00039075,"Terroristic Threats Cause Evacuation Of Bldg Etc"
"extortion/threat","violent",0.1,0.00038975,"Bomb Threats - Reports W/O Knowledge Of Bomb"
"weapons offense, attempted","violent",0.1,0.00039175,"Criminal Attempt Possession Of Firearm Prohibited"
"traffic offense, minor","criminal traffic",0.1,0.00039225,"Exceed 55 MPH In Other Loc By 5 MPH"
"traffic offense, minor","criminal traffic",0,0.00039225,"Exceed 55 MPH In Other Loc By 20 MPH"
"traffic offense, minor","criminal traffic",0.05,0.0002635,"Back Up Veh Improp On Lim Access Hwy"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 55 MPH In Other Loc By 41 MPH"
"traffic offense, minor","criminal traffic",0.1,0.00039225,"Exceed 55 MPH In Other Loc By 24 MPH"
"petty theft (=<$500)","property",0.35,0.00065125,"Retail Theft - Trans Mdse Fr Cont"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 36 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 19 MPH"
"traffic offense, minor","criminal traffic",0.12,0.000775,"Illegal Park Where Official Signs Prohibit"
"forgery/fraud, conspiracy","property",0.05,0.00039575,"Conspiracy Theft By Deception-Fail To Correct"
"public order offense, other","public order",0.05,0.00065,"Failure to Comply With Registration of Sexual Offender Requirements"
"forgery/fraud","property",0.12,0.0006475,"Buying/Exchanging Supplemental Nutrition Assistance Program Benefits"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 30 MPH"
"liquor law violation, conspiracy","public order",0,0.0003975,"Conspiracy Unlawful Sales Of Liquor"
"liquor law violation, conspiracy","public order",0.12,0.0006833,"Conspiracy Unlic Cons Malt/Brewed Bev On Premises"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 55 MPH In Other Loc By 29 MPH"
"traffic offense, minor","criminal traffic",0.1,0.0002625,"Improper Pass on Right"
"conspiracy to commit murder","violent",0.1,0.00039125,"Criminal Solicitation Criminal Homicide"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Permitting violation of title Operat Veh W/O Valid Inspect"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 13 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 25 MPH"
"invasion of privacy","public order",0.12,0.00051775,"Intercept Communications"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 39 MPH"
"weapons offense, attempted","violent",0.35,0.00116125,"Criminal Attempt Materially false written statement - purchase, delivery, transfer of firearm"
"theft, value unknown, conspiracy","property",0.1,0.000395,"Conspiracy Theft Of Leased Property"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 26 MPH"
"theft, value unknown, conspiracy","property",0.2,0.0005245,"Criminal Conspiracy Engaging Theft Property Lost Etc By Mistake"
"bribery/conflict of interest","public order",0.05,0.0003965,"Bribery - Benefit"
"extortion/threat, conspiracy","violent",0.1,0.0003945,"Conspiracy Terroristic Threats W/ Int To Terrorize Another"
"extortion/threat","violent",0.25,0.000775,"Criminal Solicitation Terroristic Threats W/ Int To Terrorize Another"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 9 MPH"
"flight to avoid prosecution, conspiracy","criminal traffic",0.3,0.00090825,"Conspiracy Fleeing or Attempting to Elude Officer"
"traffic offense, minor","criminal traffic",0.25,0.00116275,"Permitting violation of title Drg Lic Sus/Rev Purs to Sec 3802/1547B1"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 70 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 11 MPH"
"rape","violent",0.1,0.000515,"Agg. Ind. Assault - Complainant is Unconscious or Unaware that Penetration is Occurring"
"theft, value unknown, conspiracy","property",0.1,0.00039625,"Criminal Conspiracy Aiding Retail Theft-Take Mdse"
"offense against morals/decency","public order",0.6,0.00065675,"Photograph/Film/Depict on Computer Sex Act - Knowingly Depicts on Computer, Photo, etc"
"traffic offense, minor","criminal traffic",0.15,0.00039225,"Exceed 55 MPH In Other Loc By 65 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 35 MPH"
"theft, value unknown, conspiracy","property",0.15,0.000652,"Criminal Conspiracy Engaging Retail Theft - Under ring"
"traffic offense, minor","criminal traffic",0.1,0.00039225,"Exceed 55 MPH In Other Loc By 28 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Illegal Park on Bridge/Tunnel"
"bribery/conflict of interest","public order",0.35,0.00078,"Corrupt Organizations"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 45 MPH"
"family or custody related offense","violent",0.6,0.001031,"Neglect Of Care Dependent Person"
"obstruction/resisting","public order",0.05,0.00039025,"Obstruction of Justice"
"public order offense, other","public order",0.15,0.00077775,"Being Unlicensed Dealer, Salesperson, Etc."
"traffic offense, minor","criminal traffic",0.2,0.00039075,"Willful Failure To Display License"
"not known/missing","not known/missing",1,0.0002675,"Agents Duties and Responsibities: General Rule"
"theft, value unknown, conspiracy","property",0.15,0.00065225,"Conspiracy Retail Theft - Alter Label/Pricing Marking"
"forgery/fraud","property",0.12,0.00051875,"False/Fraud Med Assist Claim"
"forgery/fraud","property",0.2,0.000392,"Theft By Decept-Prevent Acqu Of Info"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 40 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00026425,"Exceed 55 MPH In Other Loc By 10 MPH"
"aggravated assault, attempted","violent",0.1,0.00077875,"Criminal Attempt Strangulation - Applying Pressure to Throat or Neck"
"forgery/fraud","property",0.1,0.0006475,"Unsworn Fals Auth Written Stmt"
"traffic offense, minor","criminal traffic",0.15,0.00064875,"Unlaw. Act. - Operate W/ Hazardous Brake System"
"sexual assault","violent",0.1,0.00051375,"Indecent Assault Person Substantially Impaired"
"rape, attempted","violent",0.1,0.000899,"Criminal Attempt Rape of Child"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 51 MPH"
"theft, value unknown, conspiracy","property",0.2,0.000524,"Criminal Conspiracy Aiding Retail Theft - Under ring"
"forgery/fraud","property",0.12,0.00064825,"Unsworn Falsification to Authorities - False Sample/Object"
"obstruction/resisting, attempted","public order",0.12,0.00052475,"Criminal Attempt Hinder App/Prosec-False Info To Leo"
"traffic offense, minor","criminal traffic",0.5,0.00103125,"Prohibitions: Suspended Privilege"
"distribution, drug unspecified","drug",0.05,0.00038825,"Sale Of Controlled Substance"
"aggravated assault, conspiracy","violent",0.2,0.00078025,"Criminal Solicitation Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"aggravated assault, conspiracy","violent",0.1,0.00026875,"Criminal Conspiracy Engaging Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"petty theft (=<$500)","property",0.35,0.00065075,"Retail Theft-Under-Ring"
"liquor law violation","public order",0.05,0.00039325,"Possession or transportation of liquor or alcohol"
"obstruction/resisting","public order",0.25,0.00090425,"Criminal Solicitation Tamper With/Fabricate Physical Evidence"
"obstruction/resisting, conspiracy","public order",0.05,0.00052375,"Conspiracy Tamper With/Fabricate Physical Evidence"
"weapons offense","violent",0.25,0.00077175,"Penalties - Sales to Ineligible Transferee"
"sexual assault, attempted","violent",0.05,0.00039025,"Criminal Attempt Indec Asslt-W/O Cons Of Other"
"weapons offense","violent",0.05,0.000388,"Sell/Lease Weapons/Explosives To Minors"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 50 MPH"
"petty theft (=<$500)","property",0.2,0.0003955,"Retail Theft-Alter Label/Price Marking"
"other property offense","property",0.2,0.00051575,"Contraband - Poss of Telecom Device By Inmate"
"criminal trespass, conspiracy","property",0.1,0.0005195,"Conspiracy Crim Tres-Break Into Structure"
"human trafficking, unspecified - adult or no age specified","violent",0.15,0.000531,"Trafficking in Individuals - Recruit/entice/solicit/etc."
"traffic offense, minor","criminal traffic",0.05,0.00054905,"Exceed 55 MPH In Other Loc By 21 MPH"
"arson","property",0.05,0.00038575,"Arson-Intent Destroy Unoccupied Bldg"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 23 MPH"
"theft, value unknown, conspiracy","property",0.2,0.000652,"Conspiracy Retail Theft-Alter Label/Price Marking"
"other property offense","property",0.25,0.00077075,"Contraband - Telecommunication Device"
"public order offense, other","public order",0.3,0.00039225,"Violate Hazard Regulation"
"attempted murder","violent",0,0.00038725,"Criminal Attempt Murder Of The First Degree"
"assault of an officer","violent",0.05,0.00039075,"Assault of Law Enforcement Officer"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Use Below Minimum Speed Limit"
"forgery/fraud, attempted","property",0.05,0.00039525,"Criminal Attempt Forgery - Alter Writing"
"possession of property crime tools, conspiracy","property",0.15,0.0007815,"Conspiracy Poss Instrument Of Crime W/Int"
"violent offense other, attempted","violent",0.05,0.00052075,"Criminal Attempt Stalking - Repeatedly Comm. To Cause Fear"
"extortion/threat","violent",0.7,0.000644,"Retaliation"
"commercialized vice","public order",0.2,0.0005175,"Prom Pros-Loiter For Purp Of Pros"
"forgery/fraud, conspiracy","property",0.15,0.0005245,"Conspiracy Access Device Used To Obt Or Att Obt Prop/Service"
"forgery/fraud, attempted","property",0.1,0.00065275,"Criminal Attempt Access Device Used To Obt Or Att Obt Prop/Service"
"driving under the influence of drugs","dui offense",0,0.0005578,"DUI: Controlled Substance - Metabolite - 3rd Offense"
"simple assault","violent",0.05,0.00038625,"Simple Assault - Penetrate With Hypodermic Needle"
"sexual assault","violent",0.1,0.00038425,"Institutional Sexual Assault"
"offense against morals/decency","public order",0.2,0.00052475,"Display Obscene/Sexual Materials"
"forgery/fraud","property",0.1,0.000775,"Makes Any Materially False Oral Statement"
"driving under the influence of alcohol","dui offense",0.05,0.0006565,"BAC .02 or Higher - 4th Off or Sub Off"
"probation violation","not known/missing",0.7,0.0008058,"Verify Address or Photographed as Required"
"traffic offense, minor","criminal traffic",0.05,0.0004208,"Exceed 25 MPH Residence Dist By 5 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 33 MPH"
"criminal trespass","property",0.3,0.00089925,"Pedestrian Walk Too Close To Rwy"
"extortion/threat","violent",0.1,0.00051825,"Cyber Harassment of a Child - Threat to Inflict Harm"
"other drug offense, attempt","drug",0.15,0.00051925,"Criminal Attempt Contraband/Controlled Substance"
"distribution, drug unspecified, conspiracy","drug",0.25,0.00065,"Criminal Conspiracy Aiding Contraband/Controlled Substance"
"theft, value unknown, conspiracy","property",0.1,0.00065225,"Criminal Conspiracy Engaging Retail Theft-Under-Ring"
"distribution, drug unspecified, conspiracy","drug",0.4,0.00065,"Criminal Conspiracy Engaging Contraband/Controlled Substance"
"not known/missing","not known/missing",0.9,0.00077775,"Identification Card"
"arson","property",0.05,0.00038475,"Arson-Intent Collect Insurance"
"forgery/fraud, attempted","property",0.1,0.00039675,"Criminal Attempt Access Device Is Counterfeit, Altered, Incomplete"
"traffic offense, minor","criminal traffic",0.05,0.00039,"License Expired"
"traffic offense, minor","criminal traffic",0.1,0.0003905,"Illegal Park Limited Access Highway"
"disorderly conduct offense","public order",0.15,0.000649,"Police Animals - Illegal to Taunt"
"drug paraphernalia","drug",0,0.00038975,"Drug Paraphernalia  Conduct Prohibited"
"theft, value unknown, attempted","property",0.15,0.000523,"Criminal Attempt Theft of Secondary Metal"
"extortion/threat, conspiracy","violent",0.15,0.00078025,"Criminal Conspiracy Engaging Harassment - Comm. Lewd, Threatening, Etc. Language"
"extortion/threat, conspiracy","violent",0.15,0.0005235,"Criminal Conspiracy Engaging Terroristic Threats W/ Int To Terrorize Another"
"traffic offense, minor","criminal traffic",0.05,0.0004208,"Exceed Max Speed Lim Estb By 14 MPH"
"not known/missing","not known/missing",0.9,0.0003945,"Commercial & school vehicle drivers"
"armed robbery","violent",0.2,0.00089725,"Robbery - demand money from financial institution"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 12 MPH"
"obstruction/resisting","public order",0.12,0.0010315,"False Swearing - Mislead Public Servant"
"forgery/fraud","property",0.15,0.00039175,"Misrepresents or Conceals Contractor Identifying Information"
"driving under the influence of alcohol","dui offense",0.15,0.00104,"Tamper W/Ignition Inter - Use Another Ind"
"escape from custody, conspiracy","public order",0.05,0.000648,"Conspiracy Escape"
"weapons offense","violent",0.75,0.00102675,"Introduce Weapon May Be Use Escape"
"extortion/threat","violent",0.1,0.000517,"Theft Extort-Expose Secret"
"weapons offense","public order",0.2,0.00064575,"Firearms-Discharge Of Firearms Prohibited"
"driving under the influence of alcohol","dui offense",0.12,0.000912,"Tamper W/Ignition Inter - Provide Breath Sample"
"sexual assault","violent",0.3,0.0008985,"Agg. Ind. Assault - Threat of Forcible Compulsion"
"criminal trespass","property",0.05,0.00038625,"Criminal Trespass"
"traffic offense, minor","criminal traffic",0.05,0.000519,"Improp Left Turn-Lane Design"
"burglary, conspiracy","violent",0.1,0.00039475,"Criminal Conspiracy Engaging Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"traffic offense, minor","criminal traffic",0.05,0.000264,"Illegal Park W/I 15 Feet of Fire Hydrant"
"kidnapping, attempted","violent",0.05,0.00052,"Criminal Attempt Kidnap To Inflict Inj/Terror"
"traffic offense, minor","criminal traffic",0.05,0.00051875,"Fail To Use Safety Belt System"
"child molestation","violent",0.05,0.00051475,"Institutional Sexual Assault of Minor"
"driving under the influence of drugs","dui offense",0,0.00052875,"DUI: Individual Under Influence of Drug - 1st Offense"
"liquor law violation","public order",0.05,0.000393,"Open Containers on or Near Public Property"
