"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 55 MPH In Other Loc By 14 MPH"
"destruction of property","property","institutional","financial or economic",0.6,"occured",0.2,"Institut'l Vand'ism Personal Prop"
"weapons offense","public order","community","community safety",0.6,"occured",0.3,"Penalties - Sales of Firearms"
"possession/use of unspecified drug","drug","individual","physical",0.5,"occured",0.3,"Acq Or Obt Poss Of Contr Subs Misre"
"vehicular manslaughter","violent","individual","physical",1,"occured",0.1,"Homi By Veh While Dr Under The Infl"
"weapons offense, attempted","public order","community","community safety",0.4,"attempted",0.3,"Criminal Attempt Firearm Ownership - Duty Of Other Persons"
"rape","violent","individual","physical",1,"occured",0,"Rape Unconscious Victim"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Use Wrong Lane-Left Turn Lane Design"
"commercialized vice, conspiracy","public order","community","community safety",0.6,"conspiracy",0.15,"Conspiracy Prom Pros-Inmate In House Of Prost/Business"
"armed robbery, attempted","violent","individual","physical",0.9,"attempted",0.1,"Criminal Attempt Robbery Of Motor Vehicle"
"criminal trespass","public order","institutional","community safety",0.4,"occured",0.1,"Def Tres Posted on School Grounds"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.15,"Exceed 55 MPH In Other Loc By 45 MPH"
"extortion/threat","violent","community","community safety",0.95,"occured",0.08,"Terroristic Threats Cause Evacuation Of Bldg Etc"
"extortion/threat","violent","community","community safety",0.7,"occured",0.2,"Bomb Threats - Reports W/O Knowledge Of Bomb"
"weapons offense, attempted","public order","community","community safety",0.5,"attempted",0.2,"Criminal Attempt Possession Of Firearm Prohibited"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 55 MPH In Other Loc By 5 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 55 MPH In Other Loc By 20 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.2,"Back Up Veh Improp On Lim Access Hwy"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.15,"Exceed 55 MPH In Other Loc By 41 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.05,"Exceed 55 MPH In Other Loc By 24 MPH"
"petty theft (=<$500)","property","individual","financial or economic",0.7,"occured",0.05,"Retail Theft - Trans Mdse Fr Cont"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed 55 MPH In Other Loc By 36 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed Max Speed Lim Estb By 19 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Illegal Park Where Official Signs Prohibit"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Theft By Deception-Fail To Correct"
"offense against morals/decency","public order","community","community safety",0.7,"occured",0.2,"Failure to Comply With Registration of Sexual Offender Requirements"
"public order offense, other","public order","societal","financial or economic",0.4,"occured",0.2,"Buying/Exchanging Supplemental Nutrition Assistance Program Benefits"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed Max Speed Lim Estb By 30 MPH"
"liquor law violation, conspiracy","public order","community","community safety",0.3,"conspiracy",0.1,"Conspiracy Unlawful Sales Of Liquor"
"liquor law violation, conspiracy","public order","community","community safety",0.2,"conspiracy",0.25,"Conspiracy Unlic Cons Malt/Brewed Bev On Premises"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 55 MPH In Other Loc By 29 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Improper Pass on Right"
"unspecified homicide, conspiracy","violent","individual","physical",1,"conspiracy",0.15,"Criminal Solicitation Criminal Homicide"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Permitting violation of title Operat Veh W/O Valid Inspect"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 55 MPH In Other Loc By 13 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed Max Speed Lim Estb By 25 MPH"
"invasion of privacy","public order","individual","privacy",0.7,"occured",0.2,"Intercept Communications"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Exceed 55 MPH In Other Loc By 39 MPH"
"weapons offense, attempted","public order","community","community safety",0.6,"attempted",0.15,"Criminal Attempt Materially false written statement - purchase, delivery, transfer of firearm"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.85,"conspiracy",0.1,"Conspiracy Theft Of Leased Property"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed 55 MPH In Other Loc By 26 MPH"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Criminal Conspiracy Engaging Theft Property Lost Etc By Mistake"
"bribery/conflict of interest","public order","societal","financial or economic",0.7,"occured",0.1,"Bribery - Benefit"
"extortion/threat, conspiracy","violent","individual","emotional or psychological",0.9,"conspiracy",0.1,"Conspiracy Terroristic Threats W/ Int To Terrorize Another"
"extortion/threat","violent","individual","emotional or psychological",0.8,"occured",0.1,"Criminal Solicitation Terroristic Threats W/ Int To Terrorize Another"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 9 MPH"
"flight to avoid prosecution, conspiracy","public order","community","community safety",0.5,"conspiracy",0.2,"Conspiracy Fleeing or Attempting to Elude Officer"
"other drug offense","drug","community","community safety",0.3,"occured",0.6,"Permitting violation of title Drg Lic Sus/Rev Purs to Sec 3802/1547B1"
"traffic offense, minor","criminal traffic","individual","physical",0.5,"occured",0.05,"Exceed Max Speed Lim Estb By 70 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 55 MPH In Other Loc By 11 MPH"
"sexual assault","violent","individual","physical",1,"occured",0,"Agg. Ind. Assault - Complainant is Unconscious or Unaware that Penetration is Occurring"
"grand theft (>$500), conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.2,"Criminal Conspiracy Aiding Retail Theft-Take Mdse"
"offense against morals/decency","public order","individual","emotional or psychological",0.85,"occured",0.15,"Photograph/Film/Depict on Computer Sex Act - Knowingly Depicts on Computer, Photo, etc"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 55 MPH In Other Loc By 65 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed Max Speed Lim Estb By 35 MPH"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Retail Theft - Under ring"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 55 MPH In Other Loc By 28 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Illegal Park on Bridge/Tunnel"
"public order offense, other","public order","societal","community safety",0.7,"occured",0.3,"Corrupt Organizations"
"traffic offense, minor","criminal traffic","community","community safety",0.35,"occured",0.2,"Exceed Max Speed Lim Estb By 45 MPH"
"child abuse","violent","individual","physical",0.85,"occured",0.2,"Neglect Of Care Dependent Person"
"obstruction/resisting","public order","institutional","community safety",0.7,"occured",0.1,"Obstruction of Justice"
"public order offense, other","public order","societal","community safety",0.3,"occured",0.15,"Being Unlicensed Dealer, Salesperson, Etc."
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Willful Failure To Display License"
"not known/missing","not known/missing","individual","emotional or psychological",0,"occured",1,"Agents Duties and Responsibities: General Rule"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.15,"Conspiracy Retail Theft - Alter Label/Pricing Marking"
"forgery/fraud","property","societal","financial or economic",0.7,"occured",0.1,"False/Fraud Med Assist Claim"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Theft By Decept-Prevent Acqu Of Info"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.1,"Exceed 55 MPH In Other Loc By 40 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 55 MPH In Other Loc By 10 MPH"
"aggravated assault, attempted","violent","individual","physical",0.85,"attempted",0.05,"Criminal Attempt Strangulation - Applying Pressure to Throat or Neck"
"other court offense","public order","institutional","financial or economic",0.5,"occured",0.2,"Unsworn Fals Auth Written Stmt"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.15,"Unlaw. Act. - Operate W/ Hazardous Brake System"
"sexual assault","violent","individual","physical",0.95,"occured",0.1,"Indecent Assault Person Substantially Impaired"
"child molestation, attempted","violent","individual","emotional or psychological",1,"attempted",0.1,"Criminal Attempt Rape of Child"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Exceed Max Speed Lim Estb By 51 MPH"
"other property offense, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.25,"Criminal Conspiracy Aiding Retail Theft - Under ring"
"other court offense","public order","institutional","community safety",0.5,"occured",0.25,"Unsworn Falsification to Authorities - False Sample/Object"
"obstruction/resisting, attempted","public order","institutional","community safety",0.4,"attempted",0.2,"Criminal Attempt Hinder App/Prosec-False Info To Leo"
"other court offense","public order","community","community safety",0.3,"occured",0.4,"Prohibitions: Suspended Privilege"
"distribution, drug unspecified","drug","community","community safety",0.7,"occured",0.1,"Sale Of Controlled Substance"
"aggravated assault, attempted","violent","individual","physical",0.85,"attempted",0.1,"Criminal Solicitation Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"aggravated assault, conspiracy","violent","individual","physical",0.95,"conspiracy",0.15,"Criminal Conspiracy Engaging Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"petty theft (=<$500)","property","individual","financial or economic",0.6,"occured",0.1,"Retail Theft-Under-Ring"
"liquor law violation","public order","community","community safety",0.1,"occured",0.1,"Possession or transportation of liquor or alcohol"
"other court offense","public order","institutional","community safety",0.6,"occured",0.25,"Criminal Solicitation Tamper With/Fabricate Physical Evidence"
"other court offense, conspiracy","public order","institutional","community safety",0.6,"conspiracy",0.1,"Conspiracy Tamper With/Fabricate Physical Evidence"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Penalties - Sales to Ineligible Transferee"
"sexual assault, attempted","violent","individual","emotional or psychological",0.8,"attempted",0.1,"Criminal Attempt Indec Asslt-W/O Cons Of Other"
"weapons offense","public order","individual","community safety",0.85,"occured",0.1,"Sell/Lease Weapons/Explosives To Minors"
"traffic offense, minor","criminal traffic","community","community safety",0.7,"occured",0.1,"Exceed 65 OR 70 MPH For All Vehicles By 50 MPH"
"petty theft (=<$500)","property","individual","financial or economic",0.4,"occured",0.1,"Retail Theft-Alter Label/Price Marking"
"public order offense, other","public order","institutional","community safety",0.7,"occured",0.2,"Contraband - Poss of Telecom Device By Inmate"
"criminal trespass, conspiracy","property","individual","privacy",0.3,"conspiracy",0.1,"Conspiracy Crim Tres-Break Into Structure"
"human trafficking","violent","individual","emotional or psychological",1,"occured",0.15,"Trafficking in Individuals - Recruit/entice/solicit/etc."
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.1,"Exceed 55 MPH In Other Loc By 21 MPH"
"arson","property","community","community safety",0.8,"occured",0.1,"Arson-Intent Destroy Unoccupied Bldg"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.05,"Exceed 55 MPH In Other Loc By 23 MPH"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.5,"conspiracy",0.1,"Conspiracy Retail Theft-Alter Label/Price Marking"
"public order offense, other","public order","institutional","community safety",0.5,"occured",0.2,"Contraband - Telecommunication Device"
"public order offense, other","public order","community","community safety",0.5,"occured",0.2,"Violate Hazard Regulation"
"attempted murder","violent","individual","physical",1,"attempted",0,"Criminal Attempt Murder Of The First Degree"
"assault of an officer","violent","individual","physical",1,"occured",0,"Assault of Law Enforcement Officer"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Use Below Minimum Speed Limit"
"forgery/fraud, attempted","property","individual","financial or economic",0.7,"attempted",0.1,"Criminal Attempt Forgery - Alter Writing"
"possession of property crime tools, conspiracy","property","community","community safety",0.5,"conspiracy",0.2,"Conspiracy Poss Instrument Of Crime W/Int"
"violent offense other, attempted","violent","individual","emotional or psychological",0.8,"attempted",0.1,"Criminal Attempt Stalking - Repeatedly Comm. To Cause Fear"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.6,"Retaliation"
"commercialized vice","public order","community","community safety",0.3,"occured",0.2,"Prom Pros-Loiter For Purp Of Pros"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Access Device Used To Obt Or Att Obt Prop/Service"
"forgery/fraud, attempted","property","individual","financial or economic",0.7,"attempted",0.1,"Criminal Attempt Access Device Used To Obt Or Att Obt Prop/Service"
"driving under the influence of drugs","dui offense","individual","community safety",0.8,"occured",0.1,"DUI: Controlled Substance - Metabolite - 3rd Offense"
"aggravated assault","violent","individual","physical",0.8,"occured",0.1,"Simple Assault - Penetrate With Hypodermic Needle"
"sexual assault","violent","individual","emotional or psychological",1,"occured",0.1,"Institutional Sexual Assault"
"offense against morals/decency","public order","community","community safety",0.5,"occured",0.2,"Display Obscene/Sexual Materials"
"other court offense","public order","institutional","financial or economic",0.4,"occured",0.3,"Makes Any Materially False Oral Statement"
"driving under the influence of alcohol","dui offense","individual","community safety",0.7,"occured",0.1,"BAC .02 or Higher - 4th Off or Sub Off"
"not known/missing","not known/missing","community","community safety",0.1,"occured",0.9,"Verify Address or Photographed as Required"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 25 MPH Residence Dist By 5 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 55 MPH In Other Loc By 33 MPH"
"public order offense, other","public order","community","community safety",0.2,"occured",0.2,"Pedestrian Walk Too Close To Rwy"
"extortion/threat","violent","individual","emotional or psychological",0.9,"occured",0.15,"Cyber Harassment of a Child - Threat to Inflict Harm"
"distribution, drug unspecified, attempted","drug","community","community safety",0.5,"attempted",0.3,"Criminal Attempt Contraband/Controlled Substance"
"distribution other controlled substances, conspiracy","drug","community","community safety",0.7,"conspiracy",0.4,"Criminal Conspiracy Aiding Contraband/Controlled Substance"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.2,"Criminal Conspiracy Engaging Retail Theft-Under-Ring"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.7,"conspiracy",0.15,"Criminal Conspiracy Engaging Contraband/Controlled Substance"
"not known/missing","not known/missing","individual","financial or economic",0,"occured",0.9,"Identification Card"
"arson","property","community","community safety",0.9,"occured",0.1,"Arson-Intent Collect Insurance"
"forgery/fraud, attempted","property","individual","financial or economic",0.7,"attempted",0.15,"Criminal Attempt Access Device Is Counterfeit, Altered, Incomplete"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"License Expired"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Illegal Park Limited Access Highway"
"public order offense, other","public order","community","community safety",0.2,"occured",0.35,"Police Animals - Illegal to Taunt"
"drug paraphernalia","drug","community","community safety",0.3,"occured",0.1,"Drug Paraphernalia  Conduct Prohibited"
"theft, value unknown, attempted","property","individual","financial or economic",0.7,"attempted",0.15,"Criminal Attempt Theft of Secondary Metal"
"extortion/threat, conspiracy","violent","individual","emotional or psychological",0.75,"conspiracy",0.2,"Criminal Conspiracy Engaging Harassment - Comm. Lewd, Threatening, Etc. Language"
"extortion/threat, conspiracy","violent","individual","emotional or psychological",0.8,"conspiracy",0.1,"Criminal Conspiracy Engaging Terroristic Threats W/ Int To Terrorize Another"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 14 MPH"
"not known/missing","not known/missing","community","community safety",0,"occured",1,"Commercial & school vehicle drivers"
"armed robbery","violent","individual","emotional or psychological",0.9,"occured",0.05,"Robbery - demand money from financial institution"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.05,"Exceed Max Speed Lim Estb By 12 MPH"
"public order offense, other","public order","institutional","community safety",0.4,"occured",0.2,"False Swearing - Mislead Public Servant"
"fraudulent drug offense","public order","institutional","financial or economic",0.5,"occured",0.4,"Misrepresents or Conceals Contractor Identifying Information"
"unauthorized use of vehicle","property","individual","financial or economic",0.6,"occured",0.1,"Tamper W/Ignition Inter - Use Another Ind"
"escape from custody, conspiracy","public order","community","community safety",0.7,"conspiracy",0.1,"Conspiracy Escape"
"weapons offense","public order","community","community safety",0.7,"occured",0.3,"Introduce Weapon May Be Use Escape"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.25,"Theft Extort-Expose Secret"
"weapons offense","public order","community","community safety",0.7,"occured",0.2,"Firearms-Discharge Of Firearms Prohibited"
"other property offense","property","community","community safety",0.4,"occured",0.3,"Tamper W/Ignition Inter - Provide Breath Sample"
"aggravated assault","violent","individual","emotional or psychological",0.85,"occured",0.1,"Agg. Ind. Assault - Threat of Forcible Compulsion"
"criminal trespass","property","individual","privacy",0.4,"occured",0.1,"Criminal Trespass"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.4,"Improp Left Turn-Lane Design"
"burglary, conspiracy","property","individual","physical",0.8,"conspiracy",0.2,"Criminal Conspiracy Engaging Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Illegal Park W/I 15 Feet of Fire Hydrant"
"kidnapping, attempted","violent","individual","physical",0.95,"attempted",0.1,"Criminal Attempt Kidnap To Inflict Inj/Terror"
"traffic offense, minor","public order","individual","physical",0.2,"occured",0.05,"Fail To Use Safety Belt System"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Institutional Sexual Assault of Minor"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Individual Under Influence of Drug - 1st Offense"
"liquor law violation","public order","community","community safety",0.1,"occured",0.05,"Open Containers on or Near Public Property"
"traffic offense, minor","public order","community","community safety",0.1,"occured",0.1,"Crossing Diagonally"
"habitual offender","public order","community","community safety",0.1,"occured",0.4,"Revocation Of Habitual Offender's License"
"commercialized vice, attempted","public order","community","community safety",0.3,"attempted",0.15,"Criminal Attempt Patronizing Prostitutes"
"extortion/threat","violent","individual","emotional or psychological",0.6,"occured",0.2,"Intimidates or intends to intimidate person to refrain from reporting"
"offense against morals/decency","public order","community","emotional or psychological",0.4,"occured",0.1,"Abuse Of Corpse"
"other property offense, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.15,"Criminal Conspiracy Engaging Criminal Mischief - Damage Property"
"distribution other controlled substances, conspiracy","drug","community","community safety",0.7,"conspiracy",0.2,"Criminal Conspiracy Engaging Manuf Etc Controlled Substance"
"rape","violent","individual","physical",1,"occured",0,"Rape Substantially Impaired Person"
"child molestation","violent","individual","physical",1,"occured",0.2,"IDSI Person Substantially Impaired"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Loitering - Breach of the peace"
"rape, attempted","violent","individual","emotional or psychological",1,"attempted",0.1,"Criminal Attempt Rape Forcible Compulsion"
"aggravated assault","violent","individual","emotional or psychological",0.85,"occured",0.2,"Agg. Ind. Assault - Comp. Suffers Mental Dis."
"traffic offense, minor","criminal traffic","community","community safety",0.15,"occured",0.05,"Exceed 35 MPH In Urban Dist 24 MPH"
"statutory rape","violent","individual","emotional or psychological",0.9,"occured",0.05,"Statutory Sexual Assault:  8-11 Years Older"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 20 MPH"
"public order offense, other","public order","societal","community safety",0.1,"occured",0.5,"Viol Rules Pa Turnpike Comm"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 65 OR 70 MPH For All Vehicles By 25 MPH"
"public order offense, other","public order","community","community safety",0.2,"occured",0.8,"Emission inspection deadline"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Criminal Conspiracy Engaging Identity Theft"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Forgery - Alter Writing"
"forgery/fraud, conspiracy","property","institutional","financial or economic",0.7,"conspiracy",0.3,"Conspiracy Secure Execution Docs By Deception"
"public order offense, other","public order","societal","financial or economic",0.2,"occured",0.1,"Unauthorized Sale/Transfer Of Tickets"
"commercialized vice, conspiracy","public order","societal","community safety",0.2,"conspiracy",0.3,"Conspiracy Unauthorized Sale/Transfer Of Tickets"
"possession of property crime tools","property","community","community safety",0.7,"occured",0.3,"Unlawful Device Making Equipment Produces/Traffics"
"receiving stolen property, attempted","property","individual","financial or economic",0.7,"attempted",0.15,"Criminal Attempt Receiving Stolen Property"
"attempted murder","violent","individual","physical",0.95,"attempted",0.05,"Criminal Attempt Murder Of The Third Degree"
"unauthorized use of vehicle, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.15,"Conspiracy Unauth Use Motor/Other Vehicles"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 35 MPH In Urban Dist By 12 MPH"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.05,"Aggrav Indec Asslt/Person Less 16 Yrs Age"
"rape","violent","individual","physical",1,"occured",0.1,"IDSI Person Unconscious"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 42 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 21 MPH"
"obstruction/resisting","violent","individual","community safety",0.8,"occured",0.1,"Obstruc Of Telep Line In Emerg"
"violent offense other, conspiracy","violent","community","emotional or psychological",0.7,"conspiracy",0.2,"Conspiracy Ethnic Intimidation"
"public order offense, other","public order","community","community safety",0.3,"occured",0.3,"Drive Over Fire Hose"
"other property offense","property","institutional","financial or economic",0.3,"occured",0.6,"No Title Cert"
"vehicular manslaughter, attempted","violent","individual","physical",0.95,"attempted",0.1,"Criminal Attempt Homicide By Vehicle"
"other property offense","property","individual","financial or economic",0.2,"occured",0.6,"Transfer Ownership / Duty Of Transferee"
"human trafficking, labor - child, attempted","public order","individual","emotional or psychological",0.95,"attempted",0.15,"Criminal Attempt Dealing In Infant Children"
"rape, attempted","violent","individual","physical",1,"attempted",0.1,"Criminal Attempt IDSI Person Unconscious"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.1,"Incapable of Safely Operating Watercraft After Imbibing Alcohol or Refusal of Test- 1st Offense"
"public order offense, other","public order","community","community safety",0.5,"occured",0.2,"Reckless Operation Of A Watercraft"
"public order offense, other","public order","community","community safety",0.4,"occured",0.2,"Negligent Operation Of A Watercraft"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Viol Rules/Regs Equip Req"
"weapons offense","public order","community","community safety",0.6,"occured",0.25,"Discharge Restricted"
"not known/missing","not known/missing","individual","community safety",0,"occured",1,"Out Of Service Criteria"
"other property offense","property","community","community safety",0.5,"occured",0.7,"Improp Fastening Load"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Violation Of Vehicle Equipment Stds-Penalty"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.2,"Coerce/Threat To Commit Crime"
"destruction of property, attempted","property","individual","financial or economic",0.5,"attempted",0.1,"Criminal Attempt Criminal Mischief - Damage Property"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 25 MPH Residence Dist. By 21 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed Max Speed Lim Estb By 17 MPH"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.1,"Operating Watercraft With Highest Rate of Alcohol - 1st Offense"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.05,"Operating Watercraft With High Rate of Alcohol - 1st Offense"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.1,"Alcohol in Breath or Blood Between .08% and .10% While Operating Watercraft - 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Exceed Max Speed Limit Estb By 53 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.25,"occured",0.1,"Fail to Operate Motorcycle Lamps"
"offense against morals/decency","violent","individual","emotional or psychological",0.95,"occured",0.1,"Incest of Minor - Complainant 13-18 Years"
"offense against morals/decency","public order","community","emotional or psychological",0.4,"occured",0.3,"Criminal Solicitation Display Obscene/Sexual Materials"
"public order offense, other","public order","community","community safety",0.1,"occured",0.3,"Travel On Cultivated Land"
"burglary, conspiracy","property","individual","emotional or psychological",0.7,"conspiracy",0.1,"Conspiracy Burglary - Overnight Accommodations; Person Present"
"public order offense, other, conspiracy","public order","community","community safety",0.2,"conspiracy",0.15,"Conspiracy Loitering And Prowling At Night Time"
"arson, attempted","violent","individual","physical",1,"attempted",0.1,"Criminal Attempt Arson-Danger Of Death Or Bodily Inj"
"public order offense, other","public order","community","community safety",0.2,"occured",0.9,"General Boating Regulations"
"obstruction/resisting","public order","institutional","community safety",0.6,"occured",0.4,"Intim Wit/Vict - False/Misl to Atty"
"weapons offense, conspiracy","public order","community","community safety",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Posses Firearm W/Manufacturer Number Altered, Etc"
"contributing to the delinquency of a minor, conspiracy","public order","individual","emotional or psychological",0.8,"conspiracy",0.3,"Criminal Conspiracy Engaging Corruption of Minors"
"weapons offense, conspiracy","public order","community","community safety",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Make Repairs/Sell/Etc Offens Weap"
"public order offense, other","public order","societal","emotional or psychological",0.3,"occured",0.2,"Misrepresentation of Member or Veteran of Military"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.15,"Exceed 65 OR 70 MPH For All Vehicles By 23 MPH"
"destruction of property","property","community","financial or economic",0.6,"occured",0.1,"Agricultural Vandalism"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 11 MPH"
"criminal trespass, attempted","property","individual","privacy",0.5,"attempted",0.1,"Criminal Attempt Crim Tres-Break Into Structure"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.3,"Exceed 65 OR 70 MPH For All Vehicles By 45 MPH"
"forgery/fraud","public order","institutional","financial or economic",0.4,"occured",0.4,"Violations Concerning Licenses - Exh. False Id."
"offense against morals/decency","public order","societal","emotional or psychological",0.3,"occured",0.2,"Design/Copy Obscene Material"
"weapons offense","public order","community","community safety",0.6,"occured",0.2,"Poss. Firearm In Ct. Facility For Use In Crime"
"offense against morals/decency","public order","individual","emotional or psychological",0.6,"occured",0.2,"Transmission of Sexually Explicit Images by Minor - Transmits, Distribute etc Electronic Communicati"
"petty theft (=<$500), attempted","property","individual","financial or economic",0.5,"attempted",0.2,"Criminal Attempt Theft From A Motor Vehicle"
"human trafficking, labor - child","violent","individual","physical",1,"occured",0.05,"Unlawful Restraint of Minor/Not Parent - Involuntary Servitude"
"forgery/fraud","property","institutional","financial or economic",0.8,"occured",0.1,"Submit Claim Serv Not Rend'd To Pt"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Submit Claim W/False Info"
"forgery/fraud","property","institutional","financial or economic",0.8,"occured",0.1,"Submit Claim Serv Not Rend'd By Prov"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Periods For Requiring Lighted Lamps - Any Time Windshield Wipers Are On"
